event_time,user_host,thread_id,server_id,command_type,argument
"2021-12-12 13:11:05.396074,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 13:11:05.425674,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 14:00:08.327804,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 14:00:44.965881,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 14:00:44.997471,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 14:15:33.822231,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 14:16:19.287218,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 14:59:13.686923,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 14:59:13.790639,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:12:45.399997,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:12:45.472207,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:12:45.593003,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:12:45.594049,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:12:45.595967,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:15:07.538462,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:15:07.564337,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:15:07.596682,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:15:07.597377,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:15:07.599172,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:15:25.116843,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:15:25.127057,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:15:25.128377,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:15:25.128927,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:15:25.130705,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:19.310924,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:19.313737,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:19.384751,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:19.387346,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:19.389582,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:19.451634,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:19.453985,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:19.571400,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:27.581713,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 15:16:27.592084,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:27.593371,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:27.594041,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 15:16:27.595903,""root[root] @ localhost [::1]"",24,1,Query,..."
